DATE,CCSA
2019-11-09,1697000
2019-11-16,1665000
2019-11-23,1697000
2019-11-30,1700000
2019-12-07,1725000
2019-12-14,1716000
2019-12-21,1728000
2019-12-28,1775000
2020-01-04,1759000
2020-01-11,1735000
2020-01-18,1704000
2020-01-25,1753000
2020-02-01,1678000
2020-02-08,1729000
2020-02-15,1693000
2020-02-22,1720000
2020-02-29,1699000
2020-03-07,1702000
2020-03-14,1784000
2020-03-21,3059000
2020-03-28,7446000
2020-04-04,11914000
2020-04-11,15819000
2020-04-18,18011000
2020-04-25,22377000
2020-05-02,22548000
2020-05-09,24912000
2020-05-16,20841000
2020-05-23,21268000
2020-05-30,20606000
2020-06-06,20289000
2020-06-13,19231000
2020-06-20,18760000
2020-06-27,17760000
2020-07-04,17304000
2020-07-11,16151000
2020-07-18,16951000
2020-07-25,16090000
2020-08-01,15480000
2020-08-08,14759000
2020-08-15,14492000
2020-08-22,13292000
2020-08-29,13544000
2020-09-05,12747000
2020-09-12,12747000
2020-09-19,11979000
2020-09-26,10594000
2020-10-03,9398000
2020-10-10,8472000
2020-10-17,7823000
2020-10-24,7222000
2020-10-31,6798000
2020-11-07,6370000
2020-11-14,6089000
2020-11-21,5527000
2020-11-28,5781000
2020-12-05,5507000
2020-12-12,5322000
2020-12-19,5198000
2020-12-26,5072000
2021-01-02,5175000
2021-01-09,4974000
2021-01-16,4771000
